iter	Passed	Remaining
406	6697	42672
407	6714	42655
408	6732	42651
409	6748	42631
410	6768	42636
411	6784	42619
412	6801	42605
413	6817	42587
414	6833	42564
415	6848	42542
416	6865	42525
417	6883	42516
418	6898	42495
419	6914	42474
420	6930	42457
421	6944	42424
422	6958	42392
423	6975	42377
424	6990	42352
425	7004	42325
426	7022	42314
427	7039	42300
428	7055	42280
429	7069	42254
430	7086	42237
431	7102	42220
432	7118	42200
433	7135	42187
434	7152	42173
435	7167	42151
436	7183	42128
437	7200	42115
438	7219	42115
439	7235	42096
440	7252	42081
441	7270	42079
442	7286	42060
443	7302	42035
444	7317	42014
445	7333	41994
446	7349	41973
447	7368	41975
448	7387	41971
449	7403	41953
450	7419	41932
451	7436	41921
452	7453	41908
453	7471	41902
454	7487	41879
455	7507	41881
456	7524	41867
457	7542	41861
458	7561	41857
459	7579	41854
460	7595	41831
461	7613	41825
462	7631	41813
463	7648	41805
464	7667	41800
465	7684	41785
466	7701	41771
467	7719	41762
468	7738	41759
469	7755	41750
470	7775	41751
471	7795	41752
472	7813	41742
473	7829	41724
474	7843	41696
475	7858	41670
476	7873	41646
477	7890	41632
478	7906	41612
479	7921	41586
480	7935	41559
481	7950	41534
482	7966	41513
483	7983	41502
484	8000	41485
485	8015	41461
486	8031	41445
487	8047	41426
488	8063	41406
489	8080	41390
490	8094	41364
491	8110	41342
492	8126	41322
493	8141	41300
494	8157	41281
495	8174	41267
496	8189	41241
497	8205	41226
498	8220	41200
499	8236	41181
500	8250	41155
501	8266	41133
502	8281	41113
503	8298	41096
504	8312	41067
505	8327	41043
506	8342	41021
507	8356	40991
508	8370	40965
509	8385	40942
510	8403	40932
511	8419	40912
512	8434	40889
513	8449	40868
514	8463	40840
515	8474	40796
516	8489	40770
517	8504	40747
518	8519	40727
519	8534	40704
520	8551	40688
521	8566	40665
522	8582	40646
523	8597	40625
524	8613	40608
525	8629	40586
526	8644	40566
527	8659	40540
528	8676	40526
529	8693	40513
530	8707	40485
531	8724	40475
532	8741	40460
533	8761	40460
534	8781	40458
535	8798	40444
536	8813	40424
537	8829	40404
538	8846	40392
539	8863	40378
540	8878	40356
541	8894	40338
542	8911	40324
543	8928	40309
544	8946	40301
545	8962	40282
546	8979	40268
547	8995	40250
548	9011	40231
549	9028	40216
550	9043	40194
551	9059	40175
552	9076	40164
553	9093	40148
554	9109	40132
555	9126	40118
556	9142	40097
557	9160	40091
558	9179	40084
559	9195	40065
560	9211	40046
561	9228	40033
562	9243	40012
563	9260	39998
564	9282	40003
565	9299	39991
566	9314	39968
567	9329	39947
568	9344	39924
569	9360	39904
570	9375	39884
571	9391	39866
572	9406	39842
573	9420	39816
574	9436	39799
575	9452	39780
576	9467	39758
577	9483	39739
578	9496	39709
579	9514	39697
580	9530	39680
581	9545	39656
582	9558	39626
583	9574	39610
584	9590	39593
585	9606	39571
586	9622	39553
587	9638	39538
588	9656	39526
589	9673	39513
590	9690	39499
591	9708	39489
592	9726	39480
593	9743	39464
594	9759	39448
595	9775	39431
596	9792	39414
597	9808	39398
598	9823	39375
599	9840	39360
600	9854	39334
601	9869	39312
602	9884	39292
603	9899	39272
604	9914	39248
605	9929	39224
606	9943	39201
607	9958	39178
608	9974	39159
609	9990	39142
610	10008	39131
611	10023	39109
612	10038	39090
613	10054	39072
614	10070	39052
615	10084	39027
616	10100	39011
617	10118	38999
618	10134	38980
619	10152	38971
620	10168	38955
621	10184	38938
622	10200	38918
623	10215	38898
624	10231	38878
625	10247	38860
626	10261	38836
627	10276	38815
628	10291	38794
629	10306	38773
630	10322	38754
631	10339	38741
632	10354	38718
633	10370	38700
634	10385	38679
635	10402	38667
636	10417	38644
637	10432	38624
638	10447	38601
639	10462	38582
640	10479	38566
641	10495	38547
642	10509	38524
643	10524	38502
644	10539	38480
645	10554	38460
646	10571	38444
647	10587	38427
648	10602	38407
649	10618	38388
650	10632	38366
651	10647	38344
652	10675	38370
653	10705	38402
654	10721	38385
655	10738	38370
656	10755	38356
657	10772	38341
658	10787	38320
659	10803	38302
660	10819	38284
661	10836	38270
662	10851	38249
663	10868	38235
664	10884	38219
665	10899	38198
666	10915	38178
667	10933	38169
668	10949	38150
669	10965	38134
670	10982	38119
671	10997	38099
672	11016	38089
673	11032	38073
674	11049	38059
675	11065	38042
676	11080	38018
677	11095	38000
678	11111	37981
679	11127	37964
680	11141	37939
681	11156	37918
682	11173	37903
683	11189	37887
684	11205	37870
685	11220	37849
686	11237	37835
687	11254	37820
688	11272	37809
689	11289	37796
690	11304	37774
691	11321	37760
692	11338	37744
693	11354	37727
694	11369	37706
695	11385	37691
696	11399	37666
697	11416	37650
698	11433	37636
699	11447	37612
700	11461	37589
701	11478	37573
702	11494	37557
703	11511	37543
704	11525	37519
705	11539	37494
706	11554	37475
707	11570	37458
708	11585	37437
709	11602	37421
710	11617	37402
711	11632	37381
712	11647	37361
713	11661	37337
714	11676	37317
715	11693	37301
716	11708	37281
717	11726	37269
718	11741	37250
719	11758	37235
720	11774	37219
721	11788	37194
722	11805	37180
723	11822	37166
724	11837	37146
725	11852	37123
726	11867	37103
727	11882	37084
728	11899	37068
729	11915	37052
730	11929	37028
731	11945	37011
732	11961	36993
733	11977	36975
734	11991	36954
735	12007	36935
736	12022	36914
737	12037	36895
738	12052	36874
739	12068	36858
740	12085	36842
741	12101	36826
742	12115	36804
743	12131	36786
744	12147	36768
745	12164	36753
746	12178	36731
747	12193	36711
748	12210	36696
749	12226	36679
750	12243	36665
751	12258	36645
752	12274	36628
753	12290	36610
754	12307	36597
755	12322	36576
756	12336	36552
757	12350	36530
758	12366	36512
759	12381	36491
760	12395	36469
761	12412	36455
762	12440	36474
763	12461	36469
764	12475	36448
765	12492	36433
766	12507	36413
767	12526	36404
768	12544	36392
769	12562	36383
770	12579	36369
771	12595	36352
772	12610	36331
773	12625	36309
774	12641	36294
775	12656	36273
776	12672	36257
777	12688	36239
778	12707	36231
779	12724	36216
780	12741	36202
781	12756	36181
782	12771	36160
783	12788	36147
784	12804	36130
785	12820	36113
786	12836	36096
787	12852	36079
788	12868	36060
789	12883	36040
790	12896	36016
791	12912	35997
792	12927	35979
793	12943	35961
794	12958	35942
795	12974	35923
796	12990	35907
797	13007	35893
798	13022	35873
799	13039	35858
800	13055	35842
801	13072	35827
802	13097	35833
803	13116	35824
804	13130	35803
805	13144	35781
806	13161	35765
807	13175	35742
808	13190	35723
809	13207	35708
810	13223	35691
811	13239	35674
812	13254	35656
813	13271	35640
814	13285	35619
815	13302	35602
816	13317	35584
817	13333	35567
818	13348	35548
819	13364	35529
820	13379	35510
821	13397	35499
822	13414	35483
823	13431	35470
824	13448	35454
825	13464	35438
826	13479	35417
827	13494	35399
828	13511	35385
829	13528	35370
830	13543	35349
831	13560	35336
832	13576	35319
833	13592	35301
834	13609	35288
835	13624	35267
836	13641	35252
837	13657	35234
838	13674	35220
839	13692	35208
840	13708	35193
841	13725	35178
842	13740	35158
843	13755	35138
844	13770	35119
845	13786	35101
846	13800	35080
847	13816	35062
848	13831	35043
849	13847	35025
850	13862	35005
851	13878	34989
852	13895	34973
853	13911	34958
854	13929	34944
855	13945	34929
856	13965	34920
857	13982	34907
858	13999	34892
859	14017	34881
860	14034	34865
861	14049	34846
862	14065	34829
863	14082	34815
864	14099	34800
865	14114	34780
866	14132	34767
867	14146	34747
868	14163	34732
869	14177	34711
870	14192	34690
871	14207	34670
872	14223	34655
873	14238	34635
874	14254	34617
875	14269	34598
876	14285	34582
877	14302	34566
878	14318	34549
879	14334	34532
880	14352	34520
881	14372	34514
882	14391	34503
883	14408	34489
884	14424	34471
885	14440	34456
886	14456	34437
887	14471	34418
888	14488	34403
889	14504	34386
890	14521	34372
891	14538	34357
892	14554	34340
893	14569	34321
894	14586	34307
895	14603	34291
896	14620	34276
897	14637	34261
898	14653	34246
899	14669	34229
900	14688	34218
901	14705	34203
902	14720	34185
903	14735	34164
904	14752	34151
905	14769	34136
906	14786	34120
907	14804	34108
908	14820	34091
909	14836	34074
910	14849	34051
911	14864	34032
912	14880	34015
913	14896	33998
914	14911	33979
915	14926	33960
916	14941	33940
917	14957	33923
918	14972	33904
919	14989	33888
920	15007	33875
921	15023	33859
922	15038	33839
923	15052	33818
924	15069	33804
925	15084	33786
926	15099	33765
927	15113	33744
928	15129	33728
929	15145	33710
930	15162	33695
931	15180	33683
932	15196	33666
933	15210	33646
934	15224	33624
935	15239	33605
936	15256	33589
937	15272	33572
938	15287	33555
939	15305	33541
940	15320	33523
941	15336	33506
942	15352	33489
943	15368	33471
944	15383	33453
945	15399	33436
946	15414	33417
947	15430	33400
948	15446	33382
949	15462	33365
950	15478	33348
951	15493	33330
952	15510	33316
953	15526	33299
954	15544	33286
955	15559	33267
956	15575	33250
957	15591	33233
958	15607	33217
959	15625	33203
960	15640	33185
961	15657	33169
962	15673	33153
963	15691	33140
964	15707	33123
965	15722	33105
966	15738	33088
967	15753	33068
968	15769	33052
969	15785	33035
970	15801	33019
971	15817	33002
972	15832	32982
973	15849	32968
974	15864	32950
975	15880	32931
976	15896	32915
977	15912	32897
978	15926	32878
979	15943	32863
980	15959	32845
981	15975	32828
982	15991	32813
983	16008	32797
984	16023	32779
985	16037	32757
986	16052	32738
987	16067	32720
988	16083	32703
989	16100	32687
990	16113	32666
991	16127	32646
992	16141	32624
993	16155	32604
994	16171	32587
995	16186	32567
996	16203	32552
997	16219	32535
998	16233	32515
999	16249	32498
1000	16265	32481
1001	16281	32465
1002	16297	32447
1003	16312	32430
1004	16329	32415
1005	16344	32397
1006	16358	32376
1007	16373	32357
1008	16389	32340
1009	16406	32324
1010	16424	32312
1011	16438	32292
1012	16454	32275
1013	16468	32255
1014	16483	32236
1015	16497	32216
1016	16512	32197
1017	16529	32183
1018	16545	32164
1019	16560	32147
1020	16574	32126
1021	16588	32106
1022	16604	32088
1023	16619	32070
1024	16636	32054
1025	16652	32038
1026	16671	32027
1027	16688	32014
1028	16704	31997
1029	16721	31982
1030	16739	31968
1031	16754	31950
1032	16769	31932
1033	16786	31917
1034	16803	31901
1035	16819	31886
1036	16834	31866
1037	16849	31847
1038	16865	31831
1039	16880	31813
1040	16897	31797
1041	16913	31782
1042	16928	31763
1043	16943	31745
1044	16959	31727
1045	16975	31710
1046	16991	31695
1047	17009	31682
1048	17025	31664
1049	17042	31650
1050	17060	31637
1051	17075	31619
1052	17094	31607
1053	17109	31588
1054	17125	31572
1055	17141	31556
1056	17157	31538
1057	17173	31522
1058	17190	31507
1059	17205	31489
1060	17221	31472
1061	17236	31454
1062	17251	31435
1063	17266	31418
1064	17286	31407
1065	17303	31392
1066	17322	31381
1067	17339	31367
1068	17356	31352
1069	17371	31333
1070	17385	31312
1071	17400	31295
1072	17416	31278
1073	17431	31259
1074	17447	31243
1075	17465	31230
1076	17482	31215
1077	17499	31200
1078	17515	31184
1079	17531	31166
1080	17548	31152
1081	17563	31134
1082	17579	31116
1083	17596	31102
1084	17610	31082
1085	17627	31066
1086	17643	31050
1087	17661	31037
1088	17678	31023
1089	17695	31007
1090	17711	30990
1091	17727	30974
1092	17741	30953
1093	17757	30937
1094	17770	30916
1095	17789	30903
1096	17804	30885
1097	17820	30868
1098	17835	30851
1099	17851	30835
1100	17867	30818
1101	17884	30802
1102	17900	30785
1103	17917	30770
1104	17933	30755
1105	17950	30739
1106	17967	30724
1107	17983	30708
1108	18001	30694
1109	18018	30680
1110	18035	30664
1111	18051	30648
1112	18067	30631
1113	18081	30612
1114	18099	30599
1115	18115	30581
1116	18131	30564
1117	18146	30546
1118	18162	30531
1119	18179	30515
1120	18194	30496
1121	18210	30481
1122	18228	30466
1123	18244	30451
1124	18262	30437
1125	18278	30421
1126	18296	30407
1127	18314	30394
1128	18331	30378
1129	18343	30356
1130	18359	30339
1131	18376	30324
1132	18392	30307
1133	18408	30291
1134	18425	30276
1135	18441	30260
1136	18457	30242
1137	18472	30224
1138	18485	30203
1139	18500	30185
1140	18515	30166
1141	18527	30144
1142	18543	30126
1143	18558	30108
1144	18574	30091
1145	18589	30074
1146	18605	30057
1147	18623	30043
1148	18640	30028
1149	18657	30014
1150	18674	29998
1151	18692	29985
1152	18708	29969
1153	18724	29952
1154	18740	29935
1155	18756	29919
1156	18772	29903
1157	18788	29885
1158	18803	29868
1159	18820	29853
1160	18836	29835
1161	18852	29819
1162	18868	29803
1163	18885	29788
1164	18900	29770
1165	18919	29757
1166	18933	29738
1167	18951	29724
1168	18966	29707
1169	18984	29694
1170	19002	29680
1171	19018	29663
1172	19045	29664
1173	19067	29657
1174	19086	29645
1175	19102	29629
1176	19118	29610
1177	19134	29595
1178	19148	29575
1179	19164	29559
1180	19181	29543
1181	19197	29526
1182	19214	29511
1183	19229	29493
1184	19244	29475
1185	19259	29457
1186	19273	29438
1187	19289	29421
1188	19305	29404
1189	19321	29388
