iter	Passed	Remaining
0	59	355261
1	71	215599
2	82	165349
3	93	140333
4	106	127645
5	116	116274
6	128	110074
7	140	105037
8	152	101817
9	165	99169
10	176	96213
11	188	94200
12	203	93814
13	216	92551
14	227	90651
15	236	88579
16	248	87409
17	257	85636
18	267	84361
19	278	83388
20	290	82674
21	302	82108
22	311	81073
23	322	80326
24	333	79780
25	344	79121
26	357	79151
27	369	78716
28	387	79808
29	398	79245
30	411	79240
31	423	78926
32	435	78740
33	445	78181
34	456	77857
35	470	77870
36	482	77810
37	494	77579
38	504	77055
39	514	76607
40	528	76816
41	540	76735
42	558	77366
43	571	77393
44	583	77171
45	593	76823
46	605	76632
47	614	76196
48	625	75924
49	635	75569
50	646	75457
51	656	75137
52	672	75491
53	683	75243
54	693	75009
55	705	74867
56	716	74677
57	726	74452
58	736	74201
59	747	73965
60	758	73875
61	769	73712
62	779	73435
63	789	73252
64	797	72772
65	807	72626
66	818	72458
67	828	72267
68	839	72150
69	854	72346
70	867	72444
71	879	72429
72	891	72365
73	902	72295
74	913	72173
75	926	72255
76	938	72198
77	948	72035
78	958	71873
79	968	71694
80	979	71586
81	988	71376
82	998	71216
83	1008	71049
84	1026	71400
85	1036	71258
86	1046	71115
87	1056	70981
88	1069	71014
89	1081	71021
90	1091	70884
91	1101	70715
92	1112	70693
93	1122	70556
94	1133	70427
95	1145	70474
96	1159	70553
97	1169	70454
98	1180	70371
99	1193	70412
100	1207	70499
101	1217	70403
102	1230	70453
103	1243	70481
104	1254	70419
105	1264	70294
106	1273	70142
107	1284	70071
108	1295	70002
109	1305	69887
110	1314	69719
111	1324	69637
112	1335	69567
113	1345	69453
114	1357	69487
115	1367	69377
116	1378	69312
117	1390	69313
118	1400	69202
119	1409	69056
120	1423	69145
121	1433	69052
122	1443	68949
123	1453	68868
124	1463	68781
125	1473	68699
126	1483	68622
127	1493	68533
128	1504	68468
129	1515	68423
130	1524	68313
131	1533	68186
132	1544	68144
133	1557	68162
134	1568	68151
135	1580	68137
136	1592	68165
137	1605	68212
138	1616	68152
139	1626	68083
140	1638	68080
141	1648	67997
142	1659	67974
143	1669	67904
144	1681	67909
145	1692	67855
146	1704	67863
147	1715	67822
148	1726	67794
149	1736	67729
150	1746	67648
151	1757	67604
152	1770	67679
153	1783	67693
154	1794	67656
155	1804	67586
156	1818	67670
157	1833	67804
158	1845	67780
159	1857	67789
160	1876	68057
161	1892	68182
162	1905	68247
163	1920	68328
164	1935	68442
165	1948	68468
166	1959	68443
167	1972	68465
168	1985	68489
169	1996	68460
170	2007	68424
171	2017	68352
172	2033	68505
173	2047	68558
174	2057	68477
175	2067	68413
176	2081	68489
177	2095	68527
178	2106	68516
179	2118	68494
180	2132	68565
181	2143	68531
182	2153	68464
183	2165	68435
184	2178	68480
185	2188	68402
186	2199	68386
187	2212	68383
188	2226	68457
189	2237	68423
190	2249	68408
191	2259	68356
192	2275	68463
193	2287	68452
194	2297	68395
195	2310	68431
196	2324	68471
197	2334	68414
198	2345	68370
199	2357	68357
200	2370	68397
201	2381	68347
202	2391	68296
203	2402	68250
204	2416	68323
205	2427	68266
206	2437	68205
207	2447	68148
208	2459	68151
209	2471	68154
210	2482	68118
211	2493	68070
212	2511	68228
213	2524	68252
214	2535	68231
215	2547	68218
216	2562	68279
217	2573	68265
218	2583	68208
219	2596	68207
220	2611	68296
221	2623	68275
222	2636	68306
223	2648	68291
224	2664	68400
225	2680	68485
226	2691	68453
227	2702	68423
228	2718	68520
229	2729	68463
230	2739	68411
231	2749	68368
232	2763	68403
233	2774	68370
234	2784	68305
235	2796	68298
236	2810	68351
237	2824	68382
238	2837	68403
239	2852	68451
240	2866	68508
241	2878	68495
242	2889	68453
243	2904	68506
244	2922	68657
245	2935	68650
246	2945	68593
247	2956	68566
248	2973	68674
249	2983	68621
250	2993	68573
251	3007	68595
252	3020	68622
253	3032	68611
254	3044	68587
255	3055	68550
256	3070	68616
257	3079	68535
258	3090	68506
259	3102	68494
260	3117	68539
261	3132	68603
262	3143	68580
263	3157	68599
264	3171	68629
265	3182	68606
266	3193	68581
267	3204	68540
268	3217	68554
269	3228	68512
270	3238	68453
271	3248	68402
272	3261	68424
273	3272	68385
274	3283	68346
275	3295	68344
276	3310	68403
277	3322	68380
278	3332	68331
279	3349	68428
280	3363	68445
281	3374	68414
282	3386	68416
283	3397	68377
284	3412	68421
285	3422	68377
286	3432	68324
287	3443	68304
288	3455	68275
289	3465	68226
290	3476	68196
291	3486	68161
292	3500	68185
293	3510	68138
294	3520	68091
295	3532	68063
296	3546	68108
297	3561	68154
298	3572	68109
299	3583	68081
300	3596	68091
301	3606	68044
302	3616	68002
303	3629	68001
304	3644	68055
305	3655	68020
306	3665	67975
307	3675	67928
308	3693	68019
309	3704	67990
310	3714	67941
311	3724	67904
312	3738	67930
313	3753	67972
314	3766	67972
315	3777	67947
316	3795	68035
317	3806	68009
318	3816	67965
319	3826	67921
320	3842	67981
321	3853	67951
322	3864	67919
323	3875	67889
324	3891	67949
325	3902	67926
326	3914	67915
327	3929	67947
328	3946	68021
329	3960	68046
330	3971	68024
331	3985	68049
332	4007	68206
333	4021	68228
334	4037	68268
335	4051	68293
336	4071	68413
337	4082	68383
338	4093	68355
339	4105	68341
340	4122	68417
341	4135	68413
342	4145	68363
343	4157	68355
344	4177	68473
