iter	MAE
0	0.6938690592
1	0.660558578
2	0.6319976517
3	0.6060328199
4	0.5768847781
5	0.550267608
6	0.5257033991
7	0.5032398446
8	0.480088163
9	0.4603947541
10	0.4401708708
11	0.4217615049
12	0.4034505066
13	0.3877765355
14	0.3714990492
15	0.3561140348
16	0.3421857331
17	0.3295533579
18	0.3146715395
19	0.3010982621
20	0.2897951717
21	0.2783846415
22	0.2689477569
23	0.2583487785
24	0.2489345871
25	0.2393230544
26	0.2304725157
27	0.2233937971
28	0.2146770761
29	0.2069105406
30	0.1993008282
31	0.1920621779
32	0.185347178
33	0.1793195441
34	0.1733929812
35	0.1680397787
36	0.1627798419
37	0.157986411
38	0.1531393734
39	0.1486413619
40	0.1437767165
41	0.1397399738
42	0.1360882323
43	0.1322884737
44	0.1288079241
45	0.1252351436
46	0.1222800863
47	0.119067073
48	0.1162549015
49	0.1133218581
50	0.1107566653
51	0.1082096186
52	0.1060918088
53	0.1036013194
54	0.1013789492
55	0.09914743859
56	0.09724332194
57	0.09546872503
58	0.0937313388
59	0.09196471882
60	0.09027044262
61	0.08885068001
62	0.08742472457
63	0.08585776267
64	0.08469660996
65	0.08331871284
66	0.08199534739
67	0.08084319171
68	0.07971182672
69	0.07854869228
70	0.07757499364
71	0.0767304857
72	0.07579292468
73	0.07503809415
74	0.07422458287
75	0.07330239376
76	0.07256388226
77	0.0719028585
78	0.07094786897
79	0.07030069698
80	0.06943235958
81	0.06872331733
82	0.06812083289
83	0.06745298354
84	0.06694434881
85	0.06630517011
86	0.06579952588
87	0.06531775398
88	0.06479766037
89	0.06422022826
90	0.0636976479
91	0.06320757346
92	0.06284963303
93	0.06253042065
94	0.06210336678
95	0.06182406912
96	0.0615363199
97	0.06110757798
98	0.06077752654
99	0.06054215587
100	0.06022603298
101	0.05993285909
102	0.05968911163
103	0.05930740114
104	0.05902450263
105	0.05876493672
106	0.05857564946
107	0.0583578126
108	0.05808083149
109	0.05786903606
110	0.05760638232
111	0.05741443469
112	0.05714114407
113	0.05698299042
114	0.05679579637
115	0.0566307819
116	0.05638290292
117	0.05622779398
118	0.05608780209
119	0.05593539334
120	0.05578137314
121	0.05562287594
122	0.05552035393
123	0.05535922222
124	0.05525379105
125	0.05510176704
126	0.05500049535
127	0.05486600266
128	0.054779599
129	0.05460451474
130	0.05443662532
131	0.05431905773
132	0.0541139495
133	0.053973538
134	0.05387771227
135	0.05371831681
136	0.05360806782
137	0.05348575997
138	0.05339728824
139	0.05330568521
140	0.05318451887
141	0.05307405128
142	0.05295787459
143	0.05285324468
144	0.05275850794
145	0.05265687419
146	0.0525430487
147	0.05244123101
148	0.05232629845
149	0.05225649782
150	0.05211681098
151	0.05196850736
152	0.05184901282
153	0.05174255628
154	0.05161797646
155	0.05144362212
156	0.05137407845
157	0.05126413178
158	0.05114361679
159	0.05100035177
160	0.0509002242
161	0.05076133619
162	0.0506812673
163	0.0506162894
164	0.05053091334
165	0.05040533944
166	0.05030850518
167	0.050247392
168	0.05016372982
169	0.05002104487
170	0.04993931515
171	0.04985934536
172	0.04981878609
173	0.04975567489
174	0.0495956885
175	0.04954882284
176	0.04947211795
177	0.04937415641
178	0.04930478722
179	0.04926030522
180	0.04920021739
181	0.04910017328
182	0.04902685309
183	0.04893117762
184	0.04886573174
185	0.0487869028
186	0.04873296972
187	0.04860639873
188	0.04849177507
189	0.04840741227
190	0.04830532225
191	0.04819841866
192	0.04813728749
193	0.04801502613
194	0.04795866948
195	0.04785846729
196	0.04779081111
197	0.04774736657
198	0.04768683185
199	0.04764195444
200	0.04751897607
201	0.04745715896
202	0.04738080038
203	0.04730472612
204	0.04725946274
205	0.04717628659
206	0.04708692398
207	0.04703547891
208	0.04696257335
209	0.04688171897
210	0.046818143
211	0.04673933584
212	0.04662919543
213	0.0465664185
214	0.0465008316
215	0.04639296637
216	0.0463200159
217	0.04622192351
218	0.04615045714
219	0.04608955518
220	0.04600248652
221	0.04596664147
222	0.04590081163
223	0.0458314578
224	0.0457645813
225	0.0456363247
226	0.04557000206
227	0.04550872402
228	0.04546546237
229	0.04540463014
230	0.04531536217
231	0.04525822097
232	0.0451739301
233	0.04512380501
234	0.0450310873
235	0.04494206394
236	0.04489384609
237	0.04485258831
238	0.04479753159
239	0.04475418552
240	0.04467242704
241	0.0446034889
242	0.04454702673
243	0.04450565405
244	0.04447803044
245	0.04444851659
246	0.04439233103
247	0.0443278332
248	0.04426417749
249	0.04421561797
250	0.0441697107
251	0.04411833329
252	0.0440812612
253	0.04401033145
254	0.04393583357
255	0.0439000011
256	0.04384513281
257	0.04381379024
258	0.04377490408
259	0.0437524555
260	0.04364644607
261	0.04361535596
262	0.043576346
263	0.04353532391
264	0.04350567128
265	0.04340553356
266	0.04337460433
267	0.04327604005
268	0.04322338138
269	0.04316555386
270	0.04313306077
271	0.04310018389
272	0.04306642982
273	0.04302433108
274	0.04297273839
275	0.04294015462
276	0.04287997075
277	0.04284732918
278	0.04281197026
279	0.04277386373
280	0.0427115877
281	0.0426697615
282	0.04264316671
283	0.04257789651
284	0.04248672374
285	0.04244261732
286	0.04238499053
287	0.04233896785
288	0.0422836292
289	0.04222059522
290	0.04219627962
291	0.04214003194
292	0.04211749175
293	0.0420921505
294	0.04206690306
295	0.04202354711
296	0.04197842165
297	0.04193042158
298	0.04189587455
299	0.04185672534
300	0.04180521939
301	0.04175840584
302	0.04173493715
303	0.04168381291
304	0.04159710085
305	0.04157498152
306	0.0415004878
307	0.04144496451
308	0.04140217457
309	0.04134949583
310	0.04130818568
311	0.0412700268
312	0.04122119233
313	0.04119913314
314	0.04117056755
315	0.0411478959
316	0.04110542569
317	0.04105970811
318	0.04103982781
319	0.04099047084
320	0.04097526201
321	0.04090313719
322	0.04087079445
323	0.0408327352
324	0.04077506438
325	0.04073525433
326	0.04070166249
327	0.04068006488
328	0.04065185093
329	0.0406324695
330	0.04060697247
331	0.04058529373
332	0.04055813674
333	0.04053094713
334	0.04046630483
335	0.04045232611
336	0.04043101222
337	0.04041511714
338	0.04039366535
339	0.04035963927
340	0.04033834201
341	0.04030802203
342	0.04023678812
343	0.04018567269
344	0.04016081256
345	0.04012339846
346	0.04010103126
347	0.04008120644
348	0.0400268096
349	0.03998415851
350	0.03996022231
351	0.03993643111
352	0.0399064148
353	0.03987793909
354	0.03985439137
355	0.03978509727
356	0.03975870146
357	0.0397382507
358	0.03971349318
359	0.03964179552
360	0.0396163161
361	0.03957957786
362	0.03956250354
363	0.039519717
364	0.03945861555
365	0.03944011619
366	0.03941562998
367	0.03939847033
368	0.03936464844
369	0.03933166702
370	0.03930262257
371	0.03927509415
372	0.03924561186
373	0.0392312069
374	0.03921045733
375	0.03918947051
376	0.03917487257
377	0.03915335609
378	0.03914176799
379	0.03911182884
380	0.03908470221
381	0.03904373103
382	0.03901753655
383	0.03899477434
384	0.0389740848
385	0.03894577687
386	0.03892211243
387	0.03890536476
388	0.03889025213
389	0.03883668759
390	0.03882097393
391	0.03877330159
392	0.03875369487
393	0.03873848717
394	0.03872109378
395	0.0386896946
396	0.0386413502
397	0.03862538363
398	0.03861244754
399	0.03857721617
400	0.03855680799
401	0.03854741158
402	0.03851263302
403	0.03848959512
404	0.0384552242
405	0.03843978349
406	0.03842124757
407	0.03840585134
408	0.0383823147
409	0.03836261287
410	0.03832942435
411	0.03829992928
412	0.03827107574
413	0.03823809824
414	0.03823175201
415	0.03821026207
416	0.03815719837
417	0.0381360108
418	0.03811492486
419	0.03807836433
420	0.03806348436
421	0.03803984252
422	0.03801794912
423	0.03799916114
424	0.03797811098
425	0.03795417498
426	0.03794515093
427	0.03792862932
428	0.03790807902
429	0.0378965924
430	0.03787392314
431	0.03783972628
432	0.03777484765
433	0.0377447703
434	0.03772096163
435	0.03767352757
436	0.037656456
437	0.0376188175
438	0.0375986047
439	0.03754942655
440	0.03752138439
441	0.03749119069
442	0.03747811886
443	0.03745984081
444	0.03740941591
445	0.03739132905
446	0.03736840954
447	0.03733461501
448	0.03730086382
449	0.0372586394
450	0.03723996879
451	0.03722055622
452	0.03720119879
453	0.03718919128
454	0.03716239839
455	0.03713071316
456	0.03710986563
457	0.03708536414
458	0.03706048556
459	0.03704330344
460	0.03702333497
461	0.0369975662
462	0.03697390024
463	0.03693985427
464	0.03691596142
465	0.03690269772
466	0.03689009009
467	0.03686295421
468	0.03683250628
469	0.03680695708
470	0.0367571119
471	0.03674298881
472	0.03672996056
473	0.03670781931
474	0.03669781883
475	0.03668822011
476	0.03667302966
477	0.03666185862
478	0.03664199819
479	0.03661673811
480	0.03660482623
481	0.03657440757
482	0.03656288782
483	0.03654502968
484	0.03652546827
485	0.03650838987
486	0.0364885102
487	0.0364802386
488	0.03645620115
489	0.03643217042
490	0.03641579978
491	0.03639463147
492	0.03637488353
493	0.03635230552
494	0.03632776039
495	0.03631775635
496	0.03630016688
497	0.03626605224
498	0.03625613455
499	0.03624575543
500	0.03621786197
501	0.03619230157
502	0.03617517278
503	0.03616535642
504	0.03615718425
505	0.03613962903
506	0.03612101287
507	0.03610696412
508	0.03609675869
509	0.03608074299
510	0.03606728416
